Date,Open,High,Low,Close*,Adj Close**,Volume
6-Jun-17,153.41,154.52,152.48,152.81,152.81,"13,457,100"
5-Jun-17,153.64,154.71,153.41,153.63,153.63,"12,520,400"
2-Jun-17,151.85,153.63,151.3,153.61,153.61,"16,854,400"
1-Jun-17,151.75,152.29,150.3,151.53,151.53,"14,530,600"
31-May-17,152.7,153.35,151.09,151.46,151.46,"18,023,900"
30-May-17,151.97,152.9,151.64,152.38,152.38,"13,226,000"
26-May-17,152.23,152.25,151.15,152.13,152.13,"14,996,200"
25-May-17,150.3,152.59,149.95,151.96,151.96,"19,891,400"
24-May-17,148.51,150.23,148.42,150.04,150.04,"17,862,400"
23-May-17,148.52,148.81,147.25,148.07,148.07,"12,817,800"
22-May-17,148.08,148.59,147.69,148.24,148.24,"12,586,700"
19-May-17,148.45,149.39,147.96,148.06,148.06,"16,187,900"
18-May-17,144.72,148.15,144.51,147.66,147.66,"23,031,600"
17-May-17,148,148.67,144.42,144.85,144.85,"28,300,100"
16-May-17,150.11,150.21,149.03,149.78,149.78,"14,550,800"
15-May-17,150.17,151.48,149.77,150.19,150.19,"15,064,700"
12-May-17,150.4,150.46,149.63,150.33,150.33,"9,598,200"
11-May-17,150.31,150.65,149.41,150.04,150.04,"11,841,900"
10-May-17,150.23,150.52,148.86,150.29,150.29,"12,080,700"
9-May-17,151.49,152.59,150.21,150.48,150.48,"17,453,900"
8-May-17,150.71,151.08,149.74,151.06,151.06,"15,827,500"
5-May-17,151.45,151.63,149.79,150.24,150.24,"17,148,500"
4-May-17,150.17,151.52,148.72,150.85,150.85,"36,225,500"
3-May-17,153.6,153.6,151.34,151.8,151.8,"29,782,500"
2-May-17,153.34,153.44,151.66,152.78,152.78,"21,870,400"
1-May-17,151.74,152.57,151.42,152.46,152.46,"25,218,300"
28-Apr-17,149.5,151.53,149.07,150.25,150.25,"30,568,000"
27-Apr-17,146.67,147.75,146.14,147.7,147.7,"11,275,100"
26-Apr-17,147.09,147.59,146.09,146.56,146.56,"12,395,000"
25-Apr-17,145.79,147.15,145.79,146.49,146.49,"17,767,500"
24-Apr-17,144.96,145.67,144.34,145.47,145.47,"14,407,200"
21-Apr-17,143.9,144.17,142.27,143.68,143.68,"12,382,000"
20-Apr-17,142.95,144.25,142.69,143.8,143.8,"15,968,200"
19-Apr-17,141.35,143.04,141.27,142.27,142.27,"15,563,900"
18-Apr-17,141.27,141.91,140.61,140.96,140.96,"14,807,500"
17-Apr-17,139.76,141.55,139.75,141.42,141.42,"11,519,700"
13-Apr-17,139.62,140.58,139.33,139.39,139.39,"10,965,600"
12-Apr-17,139.72,140.4,139.44,139.58,139.58,"11,612,500"
11-Apr-17,140.8,141.03,138.81,139.92,139.92,"16,638,100"
10-Apr-17,141,141.43,140.63,141.04,141.04,"9,039,400"
7-Apr-17,141.2,141.55,140.24,140.78,140.78,"11,818,300"
6-Apr-17,142.11,142.22,140.91,141.17,141.17,"15,103,400"
5-Apr-17,142.26,143.44,141.29,141.85,141.85,"17,158,100"
4-Apr-17,141.86,142.09,141.27,141.73,141.73,"12,948,600"
3-Apr-17,141.93,142.47,140.82,142.28,142.28,"13,564,000"
31-Mar-17,142.31,142.63,141.89,142.05,142.05,"11,478,300"
30-Mar-17,142.4,142.95,141.85,142.41,142.41,"12,404,000"
29-Mar-17,141.99,142.86,141.43,142.65,142.65,"16,527,600"
28-Mar-17,140.36,141.95,140.01,141.76,141.76,"14,679,400"
27-Mar-17,139.05,140.65,138.77,140.32,140.32,"12,800,500"
24-Mar-17,140.08,141.02,139.76,140.34,140.34,"16,664,700"
23-Mar-17,139.48,140.39,139.09,139.53,139.53,"13,022,800"
22-Mar-17,137.93,139.79,137.6,139.59,139.59,"17,055,400"
21-Mar-17,141.15,142.31,138.4,138.51,138.51,"29,894,800"
20-Mar-17,139.71,140.19,139.25,139.94,139.94,"12,099,500"
17-Mar-17,140.34,140.34,139.7,139.84,139.84,"20,592,800"
16-Mar-17,140.2,140.25,139.73,139.99,139.99,"13,612,900"
15-Mar-17,139.29,140.1,138.49,139.72,139.72,"19,344,800"
14-Mar-17,139.46,139.46,138.52,139.32,139.32,"12,944,000"
13-Mar-17,138.71,139.68,138.67,139.6,139.6,"10,955,500"
10-Mar-17,138.91,139.49,138.22,138.79,138.79,"16,314,100"
9-Mar-17,137.72,138.57,137.4,138.24,138.24,"15,535,300"
8-Mar-17,137.15,137.99,137.05,137.72,137.72,"10,184,500"
7-Mar-17,137.03,138.37,136.99,137.3,137.3,"13,527,100"
6-Mar-17,136.88,137.83,136.51,137.42,137.42,"12,748,200"
3-Mar-17,136.63,137.33,136.08,137.17,137.17,"11,160,600"
2-Mar-17,137.09,137.82,136.31,136.76,136.76,"12,294,800"
1-Mar-17,136.47,137.48,136.3,137.42,137.42,"16,257,000"
28-Feb-17,136.79,136.81,134.75,135.54,135.54,"16,112,100"
27-Feb-17,135.26,137.18,135.02,136.41,136.41,"14,306,700"
24-Feb-17,134.16,135.62,134.16,135.44,135.44,"12,625,700"
23-Feb-17,135.89,136.12,134.33,135.36,135.36,"18,422,500"
22-Feb-17,133.6,136.79,133.46,136.12,136.12,"27,360,100"
21-Feb-17,133.5,133.91,132.9,133.72,133.72,"14,759,100"
